epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90635,1.54229,1.73578,1.54095,0.31035,0.30227,0.24956,0.14092,1.96528,2.29678,1.84204,0.000410628,0.000410628,0.000410628
2,15.5204,1.58132,1.73177,1.53892,0.30457,0.29265,0.23139,0.1226,1.99906,2.38918,1.91288,0.000786344,0.000786344,0.000786344
3,21.8842,1.5671,1.76244,1.54073,0.36117,0.27951,0.2314,0.12222,2.05618,2.36818,1.91579,0.00112081,0.00112081,0.00112081
4,28.3011,1.60565,1.77689,1.56323,0.31474,0.2913,0.24103,0.12491,2.01094,2.32758,1.87199,0.00106437,0.00106437,0.00106437
5,34.7133,1.59846,1.7889,1.55383,0.31471,0.2905,0.23811,0.12476,2.03655,2.33242,1.91846,0.0010025,0.0010025,0.0010025
6,41.1348,1.61513,1.78081,1.57717,0.34203,0.29423,0.24588,0.12897,2.01789,2.42211,1.91324,0.000940625,0.000940625,0.000940625
7,47.7208,1.6173,1.79734,1.56704,0.33043,0.29846,0.24081,0.12569,2.02262,2.3666,1.90341,0.00087875,0.00087875,0.00087875
8,54.1134,1.61065,1.77824,1.55573,0.31622,0.29405,0.23709,0.12162,2.01026,2.35793,1.87338,0.000816875,0.000816875,0.000816875
9,60.5843,1.58351,1.77646,1.55155,0.31976,0.32811,0.24994,0.13485,1.98517,2.28256,1.87384,0.000755,0.000755,0.000755
10,67.7705,1.55638,1.75429,1.54689,0.33274,0.2704,0.2298,0.12422,2.03114,2.30363,1.87183,0.000693125,0.000693125,0.000693125
11,90.5657,1.65815,1.8476,1.60569,0.29716,0.27922,0.2353,0.12301,2.01151,2.34916,1.87981,0.00063125,0.00063125,0.00063125
